year,coalprice,oilprice,gasprice,nuclearprice,hydroprice,windsolarprice,cokebreezeprice,coalprice_lag1,coalprice_lag2,coalprice_lag3,oilprice_lag1,oilprice_lag2,oilprice_lag3,gasprice_lag1,gasprice_lag2,gasprice_lag3,nuclearprice_lag1,nuclearprice_lag2,nuclearprice_lag3,hydroprice_lag1,hydroprice_lag2,hydroprice_lag3,windsolarprice_lag1,windsolarprice_lag2,windsolarprice_lag3,cokebreezeprice_lag1,cokebreezeprice_lag2,cokebreezeprice_lag3
1924,0.71778219,0.00982665,0,0,0.00021837,0,0,0.763685,0.85051125,1.00343763,0.0110825,0.01173,0.02955238,0,0,0,0,0,0,0.0002325,0.00025875,0.00030999,0,0,0,0,0,0
1925,0.68036642,0.00645874,0,0,0.00020613,0,0,0.71778219,0.763685,0.85051125,0.00982665,0.0110825,0.01173,0,0,0,0,0,0,0.00021837,0.0002325,0.00025875,0,0,0,0,0,0
1926,0.71545698,0.01722315,0,0,0.00021987,0,0,0.68036642,0.71778219,0.763685,0.00645874,0.00982665,0.0110825,0,0,0,0,0,0,0.00020613,0.00021837,0.0002325,0,0,0,0,0,0
1927,0.642838,0.0042735,0,0,0.0003885,0,0,0.71545698,0.68036642,0.71778219,0.01722315,0.00645874,0.00982665,0,0,0,0,0,0,0.00021987,0.00020613,0.00021837,0,0,0,0,0,0
1928,0.59737875,0.0039765,0,0,0.00114475,0,0,0.642838,0.71545698,0.68036642,0.0042735,0.01722315,0.00645874,0,0,0,0,0,0,0.0003885,0.00021987,0.00020613,0,0,0,0,0,0
1929,0.57151671,0.00351543,0,0,0.00132549,0,0,0.59737875,0.642838,0.71545698,0.0039765,0.0042735,0.01722315,0,0,0,0,0,0,0.00114475,0.0003885,0.00021987,0,0,0,0,0,0
1930,0.55628038,0.00305174,0,0,0.00276384,0,0.01376162,0.57151671,0.59737875,0.642838,0.00351543,0.0039765,0.0042735,0,0,0,0,0,0,0.00132549,0.00114475,0.0003885,0,0,0,0,0,0
1931,0.54826632,0.0031284,0,0,0.00352656,0,0.0139356,0.55628038,0.57151671,0.59737875,0.00305174,0.00351543,0.0039765,0,0,0,0,0,0,0.00276384,0.00132549,0.00114475,0,0,0,0.01376162,0,0
1932,0.53285968,0.0033276,0,0,0.00288392,0,0.0155288,0.54826632,0.55628038,0.57151671,0.0031284,0.00305174,0.00351543,0,0,0,0,0,0,0.00352656,0.00276384,0.00132549,0,0,0,0.0139356,0.01376162,0
1933,0.50776506,0.00257642,0,0,0.00241868,0,0.01303984,0.53285968,0.54826632,0.55628038,0.0033276,0.0031284,0.00305174,0,0,0,0,0,0,0.00288392,0.00352656,0.00276384,0,0,0,0.0155288,0.0139356,0.01376162
1934,0.48360015,0.00174405,0,0,0.0029898,0,0.009966,0.50776506,0.53285968,0.54826632,0.00257642,0.0033276,0.0031284,0,0,0,0,0,0,0.00241868,0.00288392,0.00352656,0,0,0,0.01303984,0.0155288,0.0139356
1935,0.45632992,0.00159392,0,0,0.00346912,0,0.00740704,0.48360015,0.50776506,0.53285968,0.00174405,0.00257642,0.0033276,0,0,0,0,0,0,0.0029898,0.00241868,0.00288392,0,0,0,0.009966,0.01303984,0.0155288
1936,0.44134002,0.0013563,0,0,0.00320991,0,0.00619377,0.45632992,0.48360015,0.50776506,0.00159392,0.00174405,0.00257642,0,0,0,0,0,0,0.00346912,0.0029898,0.00241868,0,0,0,0.00740704,0.009966,0.01303984
1937,0.42491257,0.00122164,0,0,0.00322862,0,0.00693717,0.44134002,0.45632992,0.48360015,0.0013563,0.00159392,0.00174405,0,0,0,0,0,0,0.00320991,0.00346912,0.0029898,0,0,0,0.00619377,0.00740704,0.009966
1938,0.42225085,0.00099659,0,0,0.00415968,0,0.00589288,0.42491257,0.44134002,0.45632992,0.00122164,0.0013563,0.00159392,0,0,0,0,0,0,0.00322862,0.00320991,0.00346912,0,0,0,0.00693717,0.00619377,0.00740704
1939,0.40892308,0.0008408,0,0,0.00374156,0,0.00685252,0.42225085,0.42491257,0.44134002,0.00099659,0.00122164,0.0013563,0,0,0,0,0,0,0.00415968,0.00322862,0.00320991,0,0,0,0.00589288,0.00693717,0.00619377
1940,0.41981216,0.001076,0,0,0.00275456,0,0.00680032,0.40892308,0.42225085,0.42491257,0.0008408,0.00099659,0.00122164,0,0,0,0,0,0,0.00374156,0.00415968,0.00322862,0,0,0,0.00685252,0.00589288,0.00693717
1941,0.421107,0.00073236,0,0,0.00254172,0,0.00641892,0.41981216,0.40892308,0.42225085,0.001076,0.0008408,0.00099659,0,0,0,0,0,0,0.00275456,0.00374156,0.00415968,0,0,0,0.00680032,0.00685252,0.00589288
1942,0.41053248,0.00058912,0,0,0.00302976,0,0.00669072,0.421107,0.41981216,0.40892308,0.00073236,0.001076,0.0008408,0,0,0,0,0,0,0.00254172,0.00275456,0.00374156,0,0,0,0.00641892,0.00680032,0.00685252
1943,0.41146308,0.00046431,0,0,0.00358785,0,0.00658476,0.41053248,0.421107,0.41981216,0.00058912,0.00073236,0.001076,0,0,0,0,0,0,0.00302976,0.00254172,0.00275456,0,0,0,0.00669072,0.00641892,0.00680032
1944,0.43358362,0.00057746,0,0,0.00315382,0,0.0068851,0.41146308,0.41053248,0.421107,0.00046431,0.00058912,0.00073236,0,0,0,0,0,0,0.00358785,0.00302976,0.00254172,0,0,0,0.00658476,0.00669072,0.00641892
1945,0.458673,0.000705,0,0,0.003337,0,0.007332,0.43358362,0.41146308,0.41053248,0.00057746,0.00046431,0.00058912,0,0,0,0,0,0,0.00315382,0.00358785,0.00302976,0,0,0,0.0068851,0.00658476,0.00669072
1946,0.45565605,0.00102762,0,0,0.00294273,0,0.0074736,0.458673,0.43358362,0.41146308,0.000705,0.00057746,0.00046431,0,0,0,0,0,0,0.003337,0.00315382,0.00358785,0,0,0,0.007332,0.0068851,0.00658476
1947,0.45872916,0.00201197,0,0,0.00285419,0,0.00430468,0.45565605,0.458673,0.43358362,0.00102762,0.000705,0.00057746,0,0,0,0,0,0,0.00294273,0.003337,0.00315382,0,0,0,0.0074736,0.007332,0.0068851
1948,0.472875,0.002134,0,0,0.0021825,0,0.007857,0.45872916,0.45565605,0.458673,0.00201197,0.00102762,0.000705,0,0,0,0,0,0,0.00285419,0.00294273,0.003337,0,0,0,0.00430468,0.0074736,0.007332
1949,0.48087936,0.002496,0,0,0.0017472,0,0.01407744,0.472875,0.45872916,0.45565605,0.002134,0.00201197,0.00102762,0,0,0,0,0,0,0.0021825,0.00285419,0.00294273,0,0,0,0.007857,0.00430468,0.0074736
1950,0.47507446,0.00187796,0,0,0.00232274,0,0.01492484,0.48087936,0.472875,0.45872916,0.002496,0.002134,0.00201197,0,0,0,0,0,0,0.0017472,0.0021825,0.00285419,0,0,0,0.01407744,0.007857,0.00430468
1955,0.55299763,0.00501729,0,0,0.00334486,0,0.01534022,0.47507446,0.48087936,0.472875,0.00187796,0.002496,0.002134,0,0,0,0,0,0,0.00232274,0.0017472,0.0021825,0,0,0,0.01492484,0.01407744,0.007857
1960,0.4993976,0.09597604,0,0.01078104,0.00446112,0,0.0089842,0.55299763,0.47507446,0.48087936,0.00501729,0.00187796,0.002496,0,0,0,0,0,0,0.00334486,0.00232274,0.0017472,0,0,0,0.01534022,0.01492484,0.01407744
1962,0.53694727,0.08636626,0,0.01607118,0.00496508,0,0.00895021,0.4993976,0.55299763,0.47507446,0.09597604,0.00501729,0.00187796,0,0,0,0.01078104,0,0,0.00446112,0.00334486,0.00232274,0,0,0,0.0089842,0.01534022,0.01492484
1963,0.56119176,0.07178112,0,0.02604744,0.00441936,0,0.00616032,0.53694727,0.4993976,0.55299763,0.08636626,0.09597604,0.00501729,0,0,0,0.01607118,0.01078104,0,0.00496508,0.00446112,0.00334486,0,0,0,0.00895021,0.0089842,0.01534022
1964,0.55973126,0.07878255,0,0.03267259,0.00470649,0,0.00620711,0.56119176,0.53694727,0.4993976,0.07178112,0.08636626,0.09597604,0,0,0,0.02604744,0.01607118,0.01078104,0.00441936,0.00496508,0.00446112,0,0,0,0.00616032,0.00895021,0.0089842
1965,0.5501592,0.09261724,0,0.05963612,0.00547316,0,0.00291428,0.55973126,0.56119176,0.53694727,0.07878255,0.07178112,0.08636626,0,0,0,0.03267259,0.02604744,0.01607118,0.00470649,0.00441936,0.00496508,0,0,0,0.00620711,0.00616032,0.00895021
1966,0.54066384,0.1053003,0,0.07822308,0.00528336,0,0.00432942,0.5501592,0.55973126,0.56119176,0.09261724,0.07878255,0.07178112,0,0,0,0.05963612,0.03267259,0.02604744,0.00547316,0.00470649,0.00441936,0,0,0,0.00291428,0.00620711,0.00616032
1967,0.5315666,0.10631332,0,0.08961644,0.00561488,0,0.00561488,0.54066384,0.5501592,0.55973126,0.1053003,0.09261724,0.07878255,0,0,0,0.07822308,0.05963612,0.03267259,0.00528336,0.00547316,0.00470649,0,0,0,0.00432942,0.00291428,0.00620711
1968,0.59290414,0.09377159,0,0.1027743,0.00438185,0,0.00286812,0.5315666,0.54066384,0.5501592,0.10631332,0.1053003,0.09261724,0,0,0,0.08961644,0.07822308,0.05963612,0.00561488,0.00528336,0.00547316,0,0,0,0.00561488,0.00432942,0.00291428
1969,0.5646213,0.1122039,0.0014094,0.0998325,0.0035235,0,0.0014094,0.59290414,0.5315666,0.54066384,0.09377159,0.10631332,0.1053003,0,0,0,0.1027743,0.08961644,0.07822308,0.00438185,0.00561488,0.00528336,0,0,0,0.00286812,0.00561488,0.00432942
1970,0.526266,0.162162,0.001326,0.085488,0.004758,0,0,0.5646213,0.59290414,0.5315666,0.1122039,0.09377159,0.10631332,0.0014094,0,0,0.0998325,0.1027743,0.08961644,0.0035235,0.00438185,0.00561488,0,0,0,0.0014094,0.00286812,0.00561488
1971,0.5419167,0.1996848,0.0081504,0.0941541,0.0037356,0,0.0014433,0.526266,0.5646213,0.59290414,0.162162,0.1122039,0.09377159,0.001326,0.0014094,0,0.085488,0.0998325,0.1027743,0.004758,0.0035235,0.00438185,0,0,0,0,0.0014094,0.00286812
1972,0.5030538,0.2631936,0.021009,0.1028994,0.0037548,0,0.0014432,0.5419167,0.526266,0.5646213,0.1996848,0.162162,0.1122039,0.0081504,0.001326,0.0014094,0.0941541,0.085488,0.0998325,0.0037356,0.004758,0.0035235,0,0,0,0.0014433,0,0.0014094
1973,0.5627646,0.229755,0.008109,0.0947852,0.0042347,0,0.0014416,0.5030538,0.5419167,0.526266,0.2631936,0.1996848,0.162162,0.021009,0.0081504,0.001326,0.1028994,0.0941541,0.085488,0.0037548,0.0037356,0.004758,0,0,0,0.0014432,0.0014433,0
1974,0.6366215,0.302818,0.040406,0.14755,0.0057885,0,0.001816,0.5627646,0.5030538,0.5419167,0.229755,0.2631936,0.1996848,0.008109,0.021009,0.0081504,0.0947852,0.1028994,0.0941541,0.0042347,0.0037548,0.0037356,0,0,0,0.0014416,0.0014432,0.0014433
1975,0.9873471,0.3232284,0.0504849,0.1916238,0.007815,0,0.0026571,0.6366215,0.5627646,0.5030538,0.302818,0.229755,0.2631936,0.040406,0.008109,0.021009,0.14755,0.0947852,0.1028994,0.0057885,0.0042347,0.0037548,0,0,0,0.001816,0.0014416,0.0014432
1976,1.2615057,0.3097269,0.045576,0.2711772,0.0110142,0,0,0.9873471,0.6366215,0.5627646,0.3232284,0.302818,0.229755,0.0504849,0.040406,0.008109,0.1916238,0.14755,0.0947852,0.007815,0.0057885,0.0042347,0,0,0,0.0026571,0.001816,0.0014416
1977,1.4394702,0.3573571,0.0403855,0.3350905,0.0106967,0,0,1.2615057,0.9873471,0.6366215,0.3097269,0.3232284,0.302818,0.045576,0.0504849,0.040406,0.2711772,0.1916238,0.14755,0.0110142,0.007815,0.0057885,0,0,0,0,0.0026571,0.001816
1978,1.5963782,0.4267952,0.0296922,0.345202,0.01207,0,0.0038624,1.4394702,1.2615057,0.9873471,0.3573571,0.3097269,0.3232284,0.0403855,0.045576,0.0504849,0.3350905,0.2711772,0.1916238,0.0106967,0.0110142,0.007815,0,0,0,0,0,0.0026571
1979,1.8120306,0.4141709,0.0194842,0.3699365,0.0134283,0,0.0039495,1.5963782,1.4394702,1.2615057,0.4267952,0.3573571,0.3097269,0.0296922,0.0403855,0.045576,0.345202,0.3350905,0.2711772,0.01207,0.0106967,0.0110142,0,0,0,0.0038624,0,0
1980,2.4374736,0.3664176,0.019914,0.4736213,0.0162631,0,0.0053104,1.8120306,1.5963782,1.4394702,0.4141709,0.4267952,0.3573571,0.0194842,0.0296922,0.0403855,0.3699365,0.345202,0.3350905,0.0134283,0.01207,0.0106967,0,0,0,0.0039495,0.0038624,0
1981,2.956539,0.325404,0.012576,0.606399,0.022794,0,0.006681,2.4374736,1.8120306,1.5963782,0.3664176,0.4141709,0.4267952,0.019914,0.0194842,0.0296922,0.4736213,0.3699365,0.345202,0.0162631,0.0134283,0.01207,0,0,0,0.0053104,0.0039495,0.0038624
1982,3.063554,0.4349944,0.0138368,0.7787524,0.0255116,0,0.0073508,2.956539,2.4374736,1.8120306,0.325404,0.3664176,0.4141709,0.012576,0.019914,0.0194842,0.606399,0.4736213,0.3699365,0.022794,0.0162631,0.0134283,0,0,0,0.006681,0.0053104,0.0039495
1983,3.155064,0.343656,0.014208,0.90132,0.026196,0,0,3.063554,2.956539,2.4374736,0.4349944,0.325404,0.3664176,0.0138368,0.012576,0.019914,0.7787524,0.606399,0.4736213,0.0255116,0.022794,0.0162631,0,0,0,0.0073508,0.006681,0.0053104
1984,2.0083752,1.4739712,0.0272792,0.9373312,0.0250432,0,0,3.155064,3.063554,2.956539,0.343656,0.4349944,0.325404,0.014208,0.0138368,0.012576,0.90132,0.7787524,0.606399,0.026196,0.0255116,0.022794,0,0,0,0,0.0073508,0.006681
1985,2.7538368,0.7303374,0.034515,1.0612212,0.0220896,0,0,2.0083752,3.155064,3.063554,1.4739712,0.343656,0.4349944,0.0272792,0.014208,0.0138368,0.9373312,0.90132,0.7787524,0.0250432,0.026196,0.0255116,0,0,0,0,0,0.0073508
1986,3.17424,0.4313232,0.0121368,1.0227588,0.0270744,0,0,2.7538368,2.0083752,3.155064,0.7303374,1.4739712,0.343656,0.034515,0.0272792,0.014208,1.0612212,0.9373312,0.90132,0.0220896,0.0250432,0.026196,0,0,0,0,0,0
1987,3.280984,0.3347568,0.0123984,0.9404416,0.0234192,0,0,3.17424,2.7538368,2.0083752,0.4313232,0.7303374,1.4739712,0.0121368,0.034515,0.0272792,1.0227588,1.0612212,0.9373312,0.0270744,0.0220896,0.0250432,0,0,0,0,0,0
1987,3.1873072,0.3894016,0.0560224,0.8922256,0.0220416,0,0,3.280984,3.17424,2.7538368,0.3347568,0.4313232,0.7303374,0.0123984,0.0121368,0.034515,0.9404416,1.0227588,1.0612212,0.0234192,0.0270744,0.0220896,0,0,0,0,0,0
1988,3.175011,0.446832,0.061632,1.0559295,0.026964,0,0,3.1873072,3.280984,3.17424,0.3894016,0.3347568,0.4313232,0.0560224,0.0123984,0.0121368,0.8922256,0.9404416,1.0227588,0.0220416,0.0234192,0.0270744,0,0,0,0,0,0
1989,3.319161,0.485919,0.0370224,1.2119694,0.0277668,0,0,3.175011,3.1873072,3.280984,0.446832,0.3894016,0.3347568,0.061632,0.0560224,0.0123984,1.0559295,0.8922256,0.9404416,0.026964,0.0220416,0.0234192,0,0,0,0,0,0
1990,3.5054201,0.59059,0.0391937,1.143597,0.0311402,0,0,3.319161,3.175011,3.1873072,0.485919,0.446832,0.3894016,0.0370224,0.061632,0.0560224,1.2119694,1.0559295,0.8922256,0.0277668,0.026964,0.0220416,0,0,0,0,0,0
1996,0.9725136,0.1119126,0.5016534,0.6406824,0.0085026,0.001149,0,3.5054201,3.319161,3.175011,0.59059,0.485919,0.446832,0.0391937,0.0370224,0.061632,1.143597,1.2119694,1.0559295,0.0311402,0.0277668,0.026964,0,0,0,0,0,0
1997,0.7859346,0.0513766,0.5993229,0.6105748,0.0104027,0.0014861,0,0.9725136,3.5054201,3.319161,0.1119126,0.59059,0.485919,0.5016534,0.0391937,0.0370224,0.6406824,1.143597,1.2119694,0.0085026,0.0311402,0.0277668,0.001149,0,0,0,0,0
1998,0.748332,0.0423852,0.5753436,0.5858892,0.0109512,0.0018252,0,0.7859346,0.9725136,3.5054201,0.0513766,0.1119126,0.59059,0.5993229,0.5016534,0.0391937,0.6105748,0.6406824,1.143597,0.0104027,0.0085026,0.0311402,0.0014861,0.001149,0,0,0,0
1999,0.62048,0.0374227,0.6598417,0.5403993,0.0112462,0.0017451,0,0.748332,0.7859346,0.9725136,0.0423852,0.0513766,0.1119126,0.5753436,0.5993229,0.5016534,0.5858892,0.6105748,0.6406824,0.0109512,0.0104027,0.0085026,0.0018252,0.0014861,0.001149,0,0,0
2000,0.6592377,0.0356597,0.6416879,0.4514406,0.0100818,0.001867,0,0.62048,0.748332,0.7859346,0.0374227,0.0423852,0.0513766,0.6598417,0.5753436,0.5993229,0.5403993,0.5858892,0.6105748,0.0112462,0.0109512,0.0104027,0.0017451,0.0018252,0.0014861,0,0,0
2001,0.7132752,0.0320424,0.6065304,0.4686912,0.0079632,0.001896,0,0.6592377,0.62048,0.748332,0.0356597,0.0374227,0.0423852,0.6416879,0.6598417,0.5753436,0.4514406,0.5403993,0.5858892,0.0100818,0.0112462,0.0109512,0.001867,0.0017451,0.0018252,0,0,0
2002,0.6756582,0.0293353,0.64594438,0.45838772,0.009463,0.00246038,0,0.7132752,0.6592377,0.62048,0.0320424,0.0356597,0.0374227,0.6065304,0.6416879,0.6598417,0.4686912,0.4514406,0.5403993,0.0079632,0.0100818,0.0112462,0.001896,0.001867,0.0017451,0,0,0
2003,0.71824206,0.02636969,0.61485011,0.44240372,0.00607072,0.00246623,0,0.6756582,0.7132752,0.6592377,0.0293353,0.0320424,0.0356597,0.64594438,0.6065304,0.6416879,0.45838772,0.4686912,0.4514406,0.009463,0.0079632,0.0100818,0.00246038,0.001896,0.001867,0,0,0
2004,0.8335453,0.029263,0.7786209,0.4835148,0.0110299,0.004502,0,0.71824206,0.6756582,0.7132752,0.02636969,0.0293353,0.0320424,0.61485011,0.64594438,0.6065304,0.44240372,0.45838772,0.4686912,0.00607072,0.009463,0.0079632,0.00246623,0.00246038,0.001896,0,0,0
2005,1.01387082,0.04073829,0.8876091,0.5719548,0.01321971,0.00782391,0,0.8335453,0.71824206,0.6756582,0.029263,0.02636969,0.0293353,0.7786209,0.61485011,0.64594438,0.4835148,0.44240372,0.45838772,0.0110299,0.00607072,0.009463,0.004502,0.00246623,0.00246038,0,0,0
2006,1.42597632,0.0569976,1.062228,0.67982592,0.0155448,0.01450848,0,1.01387082,0.8335453,0.71824206,0.04073829,0.029263,0.02636969,0.8876091,0.7786209,0.61485011,0.5719548,0.4835148,0.44240372,0.01321971,0.0110299,0.00607072,0.00782391,0.004502,0.00246623,0,0,0
2007,1.36577196,0.04825308,1.26961546,0.5821839,0.01818232,0.01888164,0,1.42597632,1.01387082,0.8335453,0.0569976,0.04073829,0.029263,1.062228,0.8876091,0.7786209,0.67982592,0.5719548,0.4835148,0.0155448,0.01321971,0.0110299,0.01450848,0.00782391,0.004502,0,0,0
